"r" "n" "Z" "logr" "logZ" "r_star" "p"
115 10 10 4.74493212836325 2.30258509299405 113.757435763755 0.000121925637277752
116 3 3 4.75359019110636 1.09861228866811 114.757331688715 0.000122997329400942
117 5 5 4.76217393479776 1.6094379124341 115.757229376383 0.000124069023413407
118 12 12 4.77068462446567 2.484906649788 116.75712878235 0.000125140719267552
119 5 5 4.77912349311153 1.6094379124341 117.757029863691 0.000126212416917369
120 9 9 4.78749174278205 2.19722457733622 118.756932578897 0.000127284116318368
121 9 9 4.79579054559674 2.19722457733622 119.756836887818 0.000128355817427518
122 2 2 4.80402104473326 0.693147180559945 120.756742751612 0.000129427520203185
123 1 1 4.81218435537242 0 121.756650132685 0.000130499224605078
124 2 2 4.82028156560504 0.693147180559945 122.756558994648 0.000131570930594195
125 4 4 4.8283137373023 1.38629436111989 123.756469302267 0.00013264263813277
126 4 4 4.83628190695148 1.38629436111989 124.756381021414 0.000133714347184226
127 6 6 4.84418708645859 1.79175946922805 125.756294119028 0.000134786057713129
128 3 3 4.85203026391962 1.09861228866811 126.756208563075 0.000135857769685143
129 5 5 4.85981240436167 1.6094379124341 127.756124322502 0.000136929483066987
130 8 8 4.86753445045558 2.07944154167984 128.756041367207 0.000138001197826395
131 11 11 4.87519732320115 2.39789527279837 129.755959667997 0.000139072913932081
132 5 5 4.88280192258637 1.6094379124341 130.755879196558 0.000140144631353695
133 3 3 4.89034912822175 1.09861228866811 131.755799925419 0.000141216350061797
134 2 2 4.89783979995091 0.693147180559945 132.755721827925 0.000142288070027815
135 5 5 4.90527477843843 1.6094379124341 133.755644878203 0.000143359791224019
136 5 5 4.91265488573605 1.6094379124341 134.755569051134 0.000144431513623487
137 5 5 4.91998092582813 1.6094379124341 135.755494322329 0.000145503237200078
138 1 1 4.92725368515721 0 136.755420668097 0.000146574961928401
139 2 2 4.93447393313069 0.693147180559945 137.755348065428 0.000147646687783792
140 4 4 4.9416424226093 1.38629436111989 138.755276491959 0.000148718414742285
141 1 1 4.94875989037817 0 139.755205925963 0.000149790142780589
142 1 1 4.95582705760126 0 140.755136346314 0.000150861871876065
143 4 4 4.96284463025991 1.38629436111989 141.755067732476 0.0001519336020067
144 4 4 4.969813299576 1.38629436111989 142.755000064479 0.000153005333151092
145 3 3 4.97673374242057 1.09861228866811 143.754933322899 0.00015407706528842
146 5 5 4.98360662170834 1.6094379124341 144.75486748884 0.000155148798398433
147 2 2 4.99043258677874 0.693147180559945 145.754802543918 0.000156220532461426
148 3 3 4.99721227376411 1.09861228866811 146.754738470241 0.000157292267458222
149 2 2 5.00394630594546 0.693147180559945 147.754675250393 0.000158364003370156
150 5 5 5.01063529409626 1.6094379124341 148.754612867421 0.000159435740179056
151 5 5 5.01727983681492 1.6094379124341 149.754551304817 0.00016050747786723
152 2 2 5.02388052084628 0.693147180559945 150.754490546504 0.000161579216417445
153 3 3 5.03043792139244 1.09861228866811 151.754430576822 0.000162650955812919
154 8 8 5.03695260241363 2.07944154167984 152.754371380517 0.000163722696037301
155 5 5 5.04342511691925 1.6094379124341 153.754312942725 0.00016479443707466
156 2 2 5.04985600724954 0.693147180559945 154.754255248958 0.000165866178909467
157 1 1 5.05624580534831 0 155.754198285097 0.000166937921526591
158 4 4 5.06259503302697 1.38629436111989 156.754142037379 0.000168009664911279
159 2 2 5.06890420222023 0.693147180559945 157.754086492382 0.000169081409049146
160 1 1 5.07517381523383 0 158.754031637019 0.000170153153926166
161 2 2 5.08140436498446 0.693147180559945 159.753977458527 0.000171224899528658
162 5 3.33333333333333 5.08759633523238 1.20397280432594 158.552252986229 0.000169936886827479
164 1 0.666666666666667 5.0998664278242 -0.405465108108164 162.753818861267 0.000174440140557129
165 6 4 5.10594547390058 1.38629436111989 161.551147991777 0.000173151113503966
167 1 0.666666666666667 5.11799381241676 -0.405465108108164 165.75366592532 0.000177655387653415
168 1 1 5.12396397940326 0 166.753616152657 0.000178727137978091
169 5 3.33333333333333 5.12989871492307 1.20397280432594 165.549734746382 0.000177436813467157
171 3 2 5.14166355650266 0.693147180559945 169.753470305458 0.000181942392672124
172 2 2 5.14749447681345 0.693147180559945 170.753422813233 0.000183014145440982
173 1 1 5.15329159449778 0 171.753375866629 0.000184085898794639
174 2 2 5.15905529921453 0.693147180559945 172.753329456296 0.000185157652723072
175 6 6 5.16478597392351 1.79175946922805 173.753283573099 0.000186229407216491
176 3 3 5.17048399503815 1.09861228866811 174.753238208105 0.000187301162265323
177 3 3 5.17614973257383 1.09861228866811 175.753193352586 0.000188372917860212
178 1 1 5.18178355029209 0 176.753148998008 0.000189444673992011
179 1 0.666666666666667 5.18738580584075 -0.405465108108164 175.546473923428 0.000188151355217132
181 1 0.666666666666667 5.19849703126583 -0.405465108108164 179.75301885738 0.000192659945520404
182 1 1 5.2040066870768 0 180.752976424929 0.000193731703712347
183 1 0.666666666666667 5.20948615284142 -0.405465108108164 179.545267950846 0.000192437277336087
185 1 0.666666666666667 5.22035582507832 -0.405465108108164 183.752851863902 0.000196946981220978
186 2 2 5.2257466737132 0.693147180559945 184.752811231291 0.000198018741341995
187 1 1 5.23110861685459 0 185.752771030746 0.000199090501926101
188 2 2 5.23644196282995 0.693147180559945 186.75273125541 0.000200162262965949
189 2 2 5.24174701505964 0.693147180559945 187.752691898576 0.000201234024454348
190 1 1 5.24702407216049 0 188.75265295367 0.000202305786384254
191 1 1 5.25227342804663 0 189.752614414261 0.000203377548748772
192 1 0.666666666666667 5.25749537202778 -0.405465108108164 188.54273572725 0.00020208079633033
194 1 0.666666666666667 5.26785815906333 -0.405465108108164 192.752501166651 0.000206592838383165
195 3 3 5.27299955856375 1.09861228866811 193.752464187505 0.000207664602419979
196 2 2 5.27811465923052 0.693147180559945 194.752427583618 0.000208736366858998
197 4 2.66666666666667 5.28320372873799 0.980829253011726 193.541427581033 0.000207438412610405
199 1 0.666666666666667 5.29330482472449 -0.405465108108164 197.752319967259 0.000211951662528985
200 4 4 5.29831736654804 1.38629436111989 198.752284808709 0.000213023428517121
201 2 2 5.30330490805908 0.693147180559945 199.752249998116 0.000214095194878199
202 1 0.666666666666667 5.30826769740121 -0.405465108108164 198.540183353916 0.000212796097399207
204 1 0.666666666666667 5.31811999384422 -0.405465108108164 202.752147603185 0.000217310496144532
205 4 4 5.32300997913841 1.38629436111989 203.752114134018 0.000218382263943355
206 4 2.66666666666667 5.32787616878958 0.980829253011726 202.539230906128 0.000217082291246967
208 1 0.666666666666667 5.33753807970132 -0.405465108108164 206.752015647407 0.00022159756939864
209 1 1 5.34233425196481 0 207.751983443595 0.000222669338553675
210 2 2 5.34710753071747 0.693147180559945 208.751951544909 0.000223741108035745
211 1 1 5.35185813347607 0 209.751919947033 0.000224812877840224
212 2 2 5.35658627467201 0.693147180559945 210.751888645732 0.000225884647962573
213 1 1 5.36129216570943 0 211.75185763685 0.000226956418398339
214 2 1.33333333333333 5.36597601502185 0.287682072451781 210.537431517523 0.000225654792025244
216 1 0.666666666666667 5.37527840768417 -0.405465108108164 214.751766324308 0.000230171731542817
217 1 0.666666666666667 5.37989735354046 -0.405465108108164 213.536790538148 0.000228869516034793
219 3 1.5 5.3890717298165 0.405465108108164 215.536372857814 0.000231012675705875
221 1 0.666666666666667 5.39816270151775 -0.405465108108164 219.751619618868 0.000235530592659383
222 1 1 5.40267738187228 0 220.751591066925 0.000236602365728504
223 1 0.666666666666667 5.40717177146012 -0.405465108108164 219.535559708674 0.000235299018854437
225 2 1.33333333333333 5.41610040220442 0.287682072451781 223.751506926557 0.000239817686560144
226 4 4 5.42053499927229 1.38629436111989 224.751479373799 0.000240889460700196
227 1 0.666666666666667 5.4249500174814 -0.405465108108164 223.53477488536 0.000239585392362723
229 1 0.666666666666667 5.43372200355424 -0.405465108108164 227.751398152526 0.000244104784660534
230 4 2.66666666666667 5.4380793089232 0.980829253011726 226.534203977822 0.000242800191475524
232 2 1 5.44673737166631 0 228.533831482655 0.000244943399576235
234 1 0.666666666666667 5.4553211153577 -0.405465108108164 232.751267390368 0.000249463662865167
235 1 0.5 5.45958551414416 -0.693147180559945 229.345578603821 0.000245813433120786
238 2 1 5.47227067367148 0 236.751166718515 0.000253750769649501
239 1 0.666666666666667 5.47646355193151 -0.405465108108164 235.5325763046 0.000252444679970179
241 2 1.33333333333333 5.48479693349065 0.287682072451781 239.751093397854 0.000256966102077743
242 1 0.333333333333333 5.48893772615669 -1.09861228866811 232.049435154445 0.00024871143649814
247 1 0.25 5.50938833662798 -1.38629436111989 241.340329972426 0.000258669451672773
250 1 0.5 5.52146091786225 -0.693147180559945 248.750883948412 0.000266612110629852
251 1 1 5.52545293913178 0 249.750861599438 0.000267683890347338
252 1 0.666666666666667 5.52942908751142 -0.405465108108164 248.530428333997 0.000266375825492985
254 1 0.5 5.53733426701854 -0.693147180559945 250.530117190252 0.000268519099350375
256 1 0.666666666666667 5.54517744447956 -0.405465108108164 254.750752462534 0.000273042791729997
257 3 2 5.54907608489522 0.693147180559945 253.52965946185 0.000271734019768989
259 1 0.4 5.55682806169954 -0.916290731874155 253.335560111531 0.00027152598337274
262 1 0.4 5.5683445037611 -0.916290731874155 258.528919641539 0.000277092245182858
264 2 1.33333333333333 5.57594910314632 0.287682072451781 262.750586406952 0.000281617043120606
265 1 1 5.57972982598622 0 263.750566352083 0.000282688825296921
266 1 1 5.5834963087817 0 264.750546447388 0.000283760607634196
267 1 1 5.58724865840025 0 265.75052669119 0.000284832390130629
268 2 1.33333333333333 5.59098698051086 0.287682072451781 264.528067938606 0.000283522154351721
270 1 0.333333333333333 5.59842195899838 -1.09861228866811 262.16134546305 0.00028098549251371
274 1 0.25 5.61312810638807 -1.38629436111989 266.158764824589 0.000285269941260729
278 2 0.666666666666667 5.62762111369064 -0.405465108108164 274.52672935896 0.000294238756369129
280 1 0.666666666666667 5.63478960316925 -0.405465108108164 278.750282652559 0.000298765576294712
281 1 1 5.63835466933375 0 279.750264812029 0.000299837360844365
282 1 1 5.64190707093811 0 280.750247097542 0.000300909145529112
283 2 1.33333333333333 5.64544689764324 0.287682072451781 279.526095214149 0.000299597095046386
285 1 0.666666666666667 5.65248918026865 -0.405465108108164 283.750194697126 0.00030412450037975
286 1 1 5.65599181081985 0 284.750177473687 0.000305196285590804
287 3 3 5.65948221575962 1.09861228866811 285.750160369821 0.000306268070930017
288 1 0.666666666666667 5.66296048013595 -0.405465108108164 284.525482887134 0.000304955457108038
290 1 0.5 5.66988092298052 -0.693147180559945 286.525243814819 0.00030709880821185
292 1 0.666666666666667 5.67675380226828 -0.405465108108164 290.750076601231 0.000311626999502528
293 1 1 5.68017260901707 0 291.750060189327 0.000312698785583387
294 2 2 5.68357976733868 0.693147180559945 292.750043888656 0.000313770571783468
295 1 1 5.68697535633982 0 293.750027698096 0.000314842358101565
296 1 0.4 5.69035945432406 -0.916290731874155 288.14579512598 0.000308835721056519
300 1 0.285714285714286 5.7037824746562 -1.25276296849537 294.322103367435 0.000315455510904166
303 1 0.5 5.71373280550937 -0.693147180559945 301.749902007137 0.000323416652755123
304 1 0.666666666666667 5.71702770140622 -0.405465108108164 300.523657625383 0.000322102359524973
306 1 0.5 5.72358510195238 -0.693147180559945 302.523442773276 0.000324245736588093
