"r" "n" "Z" "logr" "logZ" "r_star" "p"
1 697608 697608 0 13.4554126194011 0.0999988532241603 1.11908334649857e-07
2 34880 34880 0.693147180559945 10.4596688780229 0.871788990825688 9.75615729419293e-07
3 10136 10136 1.09861228866811 9.22384872200097 1.74584397451774 1.9537673227993e-06
4 4407 4407 1.38629436111989 8.39094946484199 2.62839110121399 2.94142244097551e-06
5 2396 2396 1.6094379124341 7.78155595923534 3.54783049307501 3.97036355217001e-06
6 1526 1526 1.79175946922805 7.3304052118444 4.48918503728776 5.02382982664597e-06
7 1010 1010 1.94591014905531 6.9177056098353 5.44459973029212 6.09303075992516e-06
8 696 696 2.07944154167984 6.54534966033442 6.40956665043787 7.17292155410901e-06
9 485 485 2.19722457733622 6.18414889093748 7.38131646054726 8.26040305454068e-06
10 412 412 2.30258509299405 6.02102334934953 8.35805491375151 9.35346732640331e-06
11 300 300 2.39789527279837 5.7037824746562 9.33856880016796 1.04507566711516e-05
12 257 257 2.484906649788 5.54907608489522 10.3220085382753 1.15513203253506e-05
13 217 217 2.56494935746154 5.37989735354046 11.3077615210909 1.2654472722866e-05
14 184 184 2.63905732961526 5.21493575760899 12.2953749215118 1.37597071066167e-05
15 135 135 2.70805020110221 4.90527477843843 13.2845068126382 1.48666408275153e-05
16 126 126 2.77258872223978 4.83628190695148 14.2748941897743 1.59749795580115e-05
17 93 93 2.83321334405622 4.53259949315326 15.266331450008 1.70844932086717e-05
18 96 96 2.89037175789616 4.56434819146784 16.2586555471177 1.81949993150922e-05
19 69 69 2.94443897916644 4.23410650459726 17.2517355256056 1.93063513254755e-05
20 56 56 2.99573227355399 4.02535169073515 18.2454649978044 2.04184301817896e-05
21 49 49 3.04452243772342 3.89182029811063 19.2397566419823 2.1531138162618e-05
22 44 44 3.09104245335832 3.78418963391826 20.2345381153099 2.26443943093768e-05
23 40 40 3.13549421592915 3.68887945411394 21.2297489747345 2.37581309804765e-05
24 45 45 3.17805383034795 3.80666248977032 22.2253383272764 2.48722912217778e-05
25 34 34 3.2188758248682 3.52636052461616 23.2212630158423 2.59868267363428e-05
26 39 39 3.25809653802148 3.66356164612965 24.2174862034017 2.7101696299991e-05
27 32 32 3.29583686600433 3.46573590279973 25.2139762570874 2.82168645125017e-05
28 25 25 3.3322045101752 3.2188758248682 26.2107058606367 2.93323008043498e-05
29 26 26 3.36729582998647 3.25809653802148 27.2076513024651 3.04479786399915e-05
30 22 22 3.40119738166216 3.09104245335832 28.2047919001236 3.15638748737772e-05
31 18 18 3.43398720448515 2.89037175789616 29.2021095316061 3.2679969225439e-05
32 15 15 3.46573590279973 2.70805020110221 30.1995882510599 3.37962438500341e-05
33 15 15 3.49650756146648 2.70805020110221 31.1972139716851 3.49126829830787e-05
34 19 19 3.52636052461616 2.94443897916644 32.1949742025075 3.6029272645971e-05
35 13 13 3.55534806148941 2.56494935746154 33.1928578286399 3.71460004000836e-05
36 11 11 3.58351893845611 2.39789527279837 34.1908549268787 3.82628551403968e-05
37 12 12 3.61091791264422 2.484906649788 35.1889566101746 3.9379826921448e-05
38 15 15 3.63758615972639 2.70805020110221 36.1871548958422 4.04969068098442e-05
39 11 11 3.66356164612965 2.39789527279837 37.1854425933842 4.16140867587276e-05
40 8 8 3.68887945411394 2.07944154167984 38.1838132086065 4.27313595004703e-05
41 11 11 3.71357206670431 2.39789527279837 39.1822608613312 4.38487184545876e-05
42 7 7 3.73766961828337 1.94591014905531 40.1807802145083 4.49661576484073e-05
43 7 7 3.76120011569356 1.94591014905531 41.1793664129259 4.60836716484803e-05
44 6 6 3.78418963391826 1.79175946922805 42.1780150300366 4.72012555010744e-05
45 9 9 3.80666248977032 2.19722457733622 43.1767220216741 4.83189046803783e-05
46 2 2 3.8286413964891 0.693147180559945 44.1754836856371 4.94366150432729e-05
47 5 5 3.85014760171006 1.6094379124341 45.1742966262954 5.05543827897214e-05
48 6 6 3.87120101090789 1.79175946922805 46.1731577235021 5.16722044279791e-05
49 2 2 3.89182029811063 0.693147180559945 47.1720641052115 5.27900767439509e-05
50 6 6 3.91202300542815 1.79175946922805 48.1710131233027 5.39079967741347e-05
51 4 4 3.93182563272433 1.38629436111989 49.1700023321727 5.50259617816655e-05
52 3 3 3.95124371858143 1.09861228866811 50.1690294697413 5.6143969235058e-05
53 6 6 3.97029191355212 1.79175946922805 51.1680924405536 5.72620167892967e-05
54 7 7 3.98898404656427 1.94591014905531 52.1671893007157 5.83801022689772e-05
55 2 2 4.00733318523247 0.693147180559945 53.1663182444364 5.94982236532456e-05
56 6 6 4.02535169073515 1.79175946922805 54.1654775919764 6.06163790623121e-05
57 5 5 4.04305126783455 1.6094379124341 55.1646657788393 6.17345667453547e-05
58 1 1 4.06044301054642 0 56.1638813460553 6.28527850696458e-05
59 3 3 4.07753744390572 1.09861228866811 57.1631229314314 6.39710325107605e-05
60 4 4 4.0943445622221 1.38629436111989 58.1623892616579 6.50893076437427e-05
61 2 1.33333333333333 4.11087386417331 0.287682072451781 56.4956392722347 6.32240540975256e-05
63 3 2 4.14313472639153 0.693147180559945 61.1603251764691 6.84442862739623e-05
64 1 1 4.15888308335967 0 62.1596792947135 6.95626596501801e-05
65 1 1 4.17438726989564 0 63.159052897039 7.06810548309584e-05
66 2 2 4.18965474202643 0.693147180559945 64.1584451149109 7.17994708443238e-05
67 4 4 4.20469261939097 1.38629436111989 65.1578551306605 7.29179067752261e-05
68 4 2.66666666666667 4.21950770517611 0.980829253011726 63.4700919992289 7.1029137502057e-05
70 4 2.66666666666667 4.24849524204936 0.980829253011726 68.1561844765498 7.62733256926622e-05
71 1 1 4.26267987704132 0 69.1556584023361 7.73918331450425e-05
72 5 5 4.27666611901606 1.6094379124341 70.1551466825239 7.85103566613786e-05
73 2 1.33333333333333 4.29045944114839 0.287682072451781 68.454722609171 7.66074185764698e-05
75 1 0.666666666666667 4.31748811353631 -0.405465108108164 73.1536920055073 8.18660172779556e-05
76 1 1 4.33073334028633 0 74.15323220534 8.2984598897368e-05
77 2 2 4.34380542185368 0.693147180559945 75.1527841500939 8.41031936604769e-05
78 3 2 4.35670882668959 0.693147180559945 73.4412491219339 8.21878213484871e-05
80 1 0.666666666666667 4.38202663467388 -0.405465108108164 78.1515061199039 8.74590519618429e-05
81 2 2 4.39444915467244 0.693147180559945 79.1511008156861 8.85776945674642e-05
82 1 0.666666666666667 4.40671924726425 -0.405465108108164 77.4316107497737 8.66534198031138e-05
84 1 0.666666666666667 4.43081679884331 -0.405465108108164 82.1499419229197 9.19336861950658e-05
85 2 2 4.44265125649032 0.693147180559945 83.149573530747 9.30523701088157e-05
86 2 1.33333333333333 4.45434729625351 0.287682072451781 81.4228381346487 9.11199871231313e-05
88 1 0.666666666666667 4.47733681447821 -0.405465108108164 86.1485178597235 9.64084772514755e-05
89 2 2 4.48863636973214 0.693147180559945 87.1481815574747 9.75271970769368e-05
90 1 1 4.49980967033027 0 88.1478526224274 9.8645925147005e-05
91 1 0.4 4.51085950651685 -0.916290731874155 81.2734156551095 9.09527689970694e-05
95 2 0.8 4.55387689160054 -0.22314355131421 93.14631042228 0.000104239680176827
96 1 1 4.56434819146784 0 94.1460210027775 0.000105358452468591
97 1 1 4.57471097850338 0 95.1457374719543 0.000106477231350353
98 1 0.285714285714286 4.58496747867057 -1.25276296849537 83.4185352701095 9.33533641639087e-05
104 2 0.444444444444444 4.64439089914137 -0.810930216216329 96.7380216499476 0.000108259150491456
107 1 0.5 4.67282883446191 -0.693147180559945 105.143190153654 0.000117665342456405
108 1 0.5 4.68213122712422 -0.693147180559945 100.724410460265 0.000112720302981169
111 3 1.5 4.70953020131233 0.405465108108164 109.142298255763 0.000122140729056975
112 2 0.8 4.71849887129509 -0.22314355131421 102.131371112136 0.000114294827272122
116 1 0.166666666666667 4.75359019110636 -1.79175946922805 96.5421276774486 0.000108039926295143
124 1 0.142857142857143 4.82028156560504 -1.94591014905531 109.086163654671 0.000122077909039327
130 1 0.25 4.86753445045558 -1.38629436111989 125.361150447153 0.00014029118458872
132 1 0.222222222222222 4.88280192258637 -1.50407739677627 114.598899414029 0.0001282471905691
139 1 0.142857142857143 4.93447393313069 -1.94591014905531 121.516424798205 0.000135988566801745
146 1 0.25 4.98360662170834 -1.38629436111989 144.13656046
